id,title,description,image_url,service_name,service_type,website_url,price_bcc,code_template,active,total_supply,claimed_count,created_at
bad65dfc-255f-4b03-a39a-a6d1a21c2ac3,Premium Web3 Course,Learn blockchain development with our comprehensive course,https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,EduChain Academy,education,https://educhain.academy,200,COURSE-{userId}-{timestamp},t,1000,0,2025-09-04 00:02:30.522741
5fdd7d4c-1919-4c8b-8f92-b7725a615e56,DeFi Trading Bot,Automated trading bot for maximum profits,https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,TradeBot Pro,software,https://tradebot.pro,500,BOT-{userId}-{timestamp},t,500,0,2025-09-04 00:02:30.522741
d286fbcc-5112-49af-926f-075b195a2557,NFT Collection Launch,Exclusive NFT drop - Limited Edition Art,https://images.unsplash.com/photo-1635372722656-389f87a941b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,ArtSpace Gallery,nft,https://artspace.gallery,100,NFT-{userId}-{timestamp},t,2000,0,2025-09-04 00:02:30.522741
a7945ef6-cf4c-405b-bcab-572eb530e717,SEO Optimization Service,Boost your website ranking with professional SEO optimization,https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,Digital Growth Pro,marketing,https://digitalgrowth.pro,150,SEO-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
f80b642a-d4b1-43c3-9aa9-ed23cfc506a3,Social Media Management,Complete social media management for your brand,https://images.unsplash.com/photo-1611926653458-09294b3142bf?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,SocialBoost Agency,marketing,https://socialboost.agency,250,SOCIAL-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
3c727098-9c18-4b21-b4be-01e2094d0f5d,Custom Web Development,Professional website development with modern tech stack,https://images.unsplash.com/photo-1555066931-4365d14bab8c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,WebCraft Studios,development,https://webcraft.studios,400,WEB-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
15b6929c-2cbe-4acf-a890-b2fd7473ea40,Mobile App Development,Native iOS and Android app development,https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,MobiDev Solutions,development,https://mobidev.solutions,600,APP-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
f28b747c-e763-4cdd-88aa-d674c4d3a6b7,Blockchain Consulting,Expert blockchain and Web3 consulting services,https://images.unsplash.com/photo-1559526324-4b87b5e36e44?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,Web3 Advisors,consulting,https://web3advisors.com,300,CONSULT-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
bc1c5cf5-419b-4dfd-84b3-1881bf2cc27a,Business Strategy,Strategic business planning and growth consulting,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,Strategy Plus,consulting,https://strategyplus.biz,200,STRATEGY-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
cb10d0e7-3124-4091-873d-4c972b06249b,Logo Design Package,Professional logo design with brand guidelines,https://images.unsplash.com/photo-1561070791-2526d30994b5?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,Creative Spark,design,https://creativespark.design,100,LOGO-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
2b9098da-67a2-4a3e-9bb5-2331fe152c00,Video Production,High-quality video production for marketing and content,https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300,VideoMax Studios,media,https://videomax.studios,350,VIDEO-{userId}-{timestamp},t,1000,0,2025-09-04 09:32:52.731211
